10:19:19:386, Q_tcpServerLink::tcp socket selcet error

10:19:22:891, Q_tcpServerLink::tcp socket selcet error

10:19:26:400, Q_tcpServerLink::tcp socket selcet error

10:19:29:902, Q_tcpServerLink::tcp socket selcet error

10:19:33:408, Q_tcpServerLink::tcp socket selcet error

10:19:36:912, Q_tcpServerLink::tcp socket selcet error

10:30:42:66, Q_tcpServerLink::acceptClient A new IP:192.168.60.125 connected

10:30:53:927, Q_tcpServerLink::tcp socket selcet error

10:31:24:761, Q_tcpServerLink::tcp socket selcet error

10:31:28:272, Q_tcpServerLink::tcp socket selcet error

10:31:31:778, Q_tcpServerLink::tcp socket selcet error

10:31:35:283, Q_tcpServerLink::tcp socket selcet error

10:31:38:785, Q_tcpServerLink::tcp socket selcet error

10:31:42:286, Q_tcpServerLink::tcp socket selcet error

10:31:45:791, Q_tcpServerLink::tcp socket selcet error

10:31:49:292, Q_tcpServerLink::tcp socket selcet error

10:31:57:420, Q_tcpServerLink::acceptClient A new IP:192.168.40.59 connected

10:31:57:422, Q_tcpServerLink IP didn't find in allow list,IP=192.168.40.59 close this socket

10:31:57:423, Q_tcpServerLink::disconnectClient close socket IP=192.168.40.59

10:32:03:960, Q_tcpServerLink::tcp socket selcet error

10:32:11:713, Q_tcpServerLink::tcp socket selcet error

10:32:15:216, Q_tcpServerLink::tcp socket selcet error

10:32:18:718, Q_tcpServerLink::tcp socket selcet error

10:32:22:230, Q_tcpServerLink::tcp socket selcet error

10:32:25:732, Q_tcpServerLink::tcp socket selcet error

10:32:29:233, Q_tcpServerLink::tcp socket selcet error

10:32:32:737, Q_tcpServerLink::tcp socket selcet error

10:32:36:242, Q_tcpServerLink::tcp socket selcet error

10:32:39:746, Q_tcpServerLink::tcp socket selcet error

10:32:43:247, Q_tcpServerLink::tcp socket selcet error

10:32:46:751, Q_tcpServerLink::tcp socket selcet error

10:32:50:253, Q_tcpServerLink::tcp socket selcet error

10:32:53:755, Q_tcpServerLink::tcp socket selcet error

10:32:57:256, Q_tcpServerLink::tcp socket selcet error

10:33:00:770, Q_tcpServerLink::tcp socket selcet error

10:33:04:271, Q_tcpServerLink::tcp socket selcet error

10:33:07:773, Q_tcpServerLink::tcp socket selcet error

10:33:11:275, Q_tcpServerLink::tcp socket selcet error

10:33:14:778, Q_tcpServerLink::tcp socket selcet error

10:33:18:285, Q_tcpServerLink::tcp socket selcet error

10:33:21:801, Q_tcpServerLink::tcp socket selcet error

10:33:25:307, Q_tcpServerLink::tcp socket selcet error

10:33:28:810, Q_tcpServerLink::tcp socket selcet error

10:33:32:313, Q_tcpServerLink::tcp socket selcet error

10:33:35:814, Q_tcpServerLink::tcp socket selcet error

10:34:32:342, Q_tcpServerLink::tcp socket selcet error

10:34:37:156, Q_tcpServerLink::tcp socket selcet error

10:34:42:262, Q_tcpServerLink::tcp socket selcet error

10:35:19:530, Q_tcpServerLink::acceptClient A new IP:192.168.60.125 connected

10:35:23:67, Q_tcpServerLink::tcp socket selcet error

10:35:30:326, Q_tcpServerLink::acceptClient A new IP:192.168.40.59 connected

10:35:30:327, Q_tcpServerLink IP didn't find in allow list,IP=192.168.40.59 close this socket

10:35:30:331, Q_tcpServerLink::disconnectClient close socket IP=192.168.40.59

10:35:34:342, Q_tcpServerLink::tcp socket selcet error

10:35:37:843, Q_tcpServerLink::tcp socket selcet error

10:35:41:344, Q_tcpServerLink::tcp socket selcet error

10:35:44:846, Q_tcpServerLink::tcp socket selcet error

10:35:48:349, Q_tcpServerLink::tcp socket selcet error

10:35:51:851, Q_tcpServerLink::tcp socket selcet error

10:35:55:356, Q_tcpServerLink::tcp socket selcet error

10:35:58:860, Q_tcpServerLink::tcp socket selcet error

10:36:02:367, Q_tcpServerLink::tcp socket selcet error

10:36:05:871, Q_tcpServerLink::tcp socket selcet error

10:36:09:378, Q_tcpServerLink::tcp socket selcet error

10:36:12:879, Q_tcpServerLink::tcp socket selcet error

10:36:16:382, Q_tcpServerLink::tcp socket selcet error

10:36:19:887, Q_tcpServerLink::tcp socket selcet error

10:39:01:504, Q_tcpServerLink::acceptClient A new IP:192.168.40.59 connected

10:39:01:505, Q_tcpServerLink IP didn't find in allow list,IP=192.168.40.59 close this socket

10:39:03:219, Q_tcpServerLink::acceptClient A new IP:192.168.60.125 connected

10:39:06:748, Q_tcpServerLink::tcp socket selcet error

10:39:10:254, Q_tcpServerLink::tcp socket selcet error

10:39:17:633, Q_tcpServerLink::acceptClient A new IP:192.168.60.125 connected

10:39:21:159, Q_tcpServerLink::tcp socket selcet error

10:39:24:661, Q_tcpServerLink::tcp socket selcet error

10:48:11:118, Q_tcpServerLink::acceptClient A new IP:192.168.60.125 connected

10:48:14:690, Q_tcpServerLink::tcp socket selcet error

10:48:18:192, Q_tcpServerLink::tcp socket selcet error

10:48:21:703, Q_tcpServerLink::tcp socket selcet error

10:48:25:703, Q_tcpServerLink::acceptClient A new IP:192.168.40.59 connected

10:48:25:704, Q_tcpServerLink IP didn't find in allow list,IP=192.168.40.59 close this socket

10:48:29:210, Q_tcpServerLink::tcp socket selcet error

10:48:32:711, Q_tcpServerLink::tcp socket selcet error

10:48:36:366, Q_tcpServerLink::acceptClient A new IP:192.168.60.125 connected

10:48:39:894, Q_tcpServerLink::tcp socket selcet error

10:48:43:400, Q_tcpServerLink::tcp socket selcet error

